"Σημαία",Αριθμός πλοίων
"Ελλάδα",603
"Μάλτα",343
"Τουρκία",139
"Λιβερία",129
"Παναμάς",109
"Αντίγκουα και Μπαρμπούντα",95
"Πορτογαλία",59
"Κύπρος",32
"Μπαχάμες",31
"Νήσοι Μάρσαλ",30
"Νήσοι Κουκ",28
"Ιταλία",28
"Αγ.Βικέντιος",19
"Τογκό",19
"Μπελίζ",16
"Δανία",16
"Ολλανδία",15
"Ουκρανία",13
"Μολδαβία",13
"Γιβραλτάρ",11
"Σινγκαπούρη",11
"Βανουάτου",11
"Λοιπών χωρών",58
"ΣΥΝΟΛΟ",1.828
