"",Αριθμός πλοίων
"Ελλάδα",62
"Μάλτα",37
"Τουρκία",16
"Λιβερία",13
"Παναμάς",10
"Αντίγκουα και Μπαρμπούντα",7
"Νήσοι Μάρσαλ",4
"Πορτογαλία",3
"Ιταλία",2
"Κύπρος",2
"Νήσοι Κουκ",2
"Πορτογαλία (MAR)",2
"Τογκό",2
"Ολλανδία",1
"Ουκρανία",1
"Μπελίζ",1
"Χονγκ Κονγκ",1
"Κομόρες",1
"Βανουάτου",1
"Μολδαβία",1
"Σιέρρα Λεόνε",1
"Λοιπών χωρών",12
