"Σημαία","Αριθμόςπλοίων"
"Ελλάδα",625
"Μάλτα",343
"Τουρκία",172
"Αντίγκουα και Μπαρμπούντα",159
"Λιβερία",148
"Παναμάς",122
"Νήσοι Μάρσαλ",54
"Πορτογαλία",52
"Ιταλία",36
"Γιβραλτάρ",33
"Χονγκ Κονγκ",30
"Δανία",29
"Ην. Βασίλειο",29
"Κύπρος",27
"Νήσοι Κουκ",22
"Τογκό",21
"Ολλανδία",16
"Μπαχάμες",14
"Ουκρανία",14
"Σινγκαπούρη",14
"Ρωσία",11
"Λοιπά",126
"Σύνολο",2.097
