"",,Αριθμός
"",Σημαία,
"",,πλοίων
"Ελλάδα",,717
"Τουρκία",,223
"Μάλτα",,123
"Αντίγκουα και Μπαρμπούντα",,119
"Ιταλία",,102
"Παναμάς",,102
"Λιβερία",,62
"Νήσοι Μάρσαλ",,50
"Άγιος Βικέντιος",,47
"Ολλανδία",,35
"Γεωργία",,31
"Κύπρος",,29
"Ηνωμένο βασίλειο",,26
"Ρωσία",,26
"Γερμανία",,23
"Μπαχάμες",,17
"Λοιπά",,194
"",Σύνολο,1.926
