"Σημαία",Αριθμός πλοίων
"Ελλάδα",659
"Μάλτα",402
"Παναμάς",169
"Τουρκία",163
"Λιβερία",78
"Αντίγκουα και Μπαρμπούντα",52
"Ουκρανία",38
"Νήσοι Μάρσαλ",36
"Ιταλία",35
"Κύπρος",32
"Κομόρες",27
"Άγιος Βικέντιος",23
"Τογκό",19
"Μολδαβία",19
"Νήσοι Κουκ",18
"Ρωσία",16
"Βανουάτου",15
"Νήσος Μαν",14
"Ολλανδία",11
"Σιέρρα Λεόνε",10
"Χονγκ Κονγκ",10
"Λοιπών χωρών",83
"ΣΥΝΟΛΟ",1.929
