"","Αριθμόςπλοίων"
"Ελλάδα",470
"Μάλτα",395
"Τουρκία",148
"Λιβερία",122
"Παναμάς",116
"Αντίγκουα και Μπαρμπούντα",97
"Γιβραλτάρ",75
"Κύπρος",49
"Νήσοι Μάρσαλ",49
"Ιταλία",41
"Άγιος Βικέντιος",26
"Λουξεμβούργο",24
"Χονγκ Κονγκ",21
"Τογκό",18
"Ολλανδία",17
"Ουκρανία",17
"Νήσοι Κουκ",15
"Μολδαβία",12
"Ρωσία",11
"Δανία",11
"Λοιπά",85
1.819,
