"Σημαία",Αριθμός πλοίων
"Ελλάδα",698
"Μάλτα",348
"Τουρκία",190
"Λιβερία",128
"Αντίγκουα και Μπαρμπούντα",102
"Παναμάς",83
"Νήσοι Μάρσαλ",55
"Ιταλία",47
"Πορτογαλία",43
"Νήσοι Κουκ",30
"Δανία",29
"Τογκό",27
"Μπαχάμες",24
"Μολδαβία",17
"Γιβραλτάρ",16
"Χονγκ Κονγκ",16
"Σινγκαπούρη",14
"Ολλανδία",12
"Ουκρανία",12
"Ρωσία",11
"Κύπρος",5
"Ην. Βασίλειο",3
"Λοιπών χωρών",73
"ΣΥΝΟΛΟ",1.983
