"",,Αριθμός
"",Σημαία,
"",,πλοίων
"Ελλάδα",,673
"Τουρκία",,233
"Μάλτα",,138
"Λιβερία",,114
"Παναμάς",,101
"Νήσοι Μάρσαλ",,86
"Αντίγκουα και Μπαρμπούντα",,83
"Ιταλία",,75
"Ηνωμένο βασίλειο",,73
"Άγιος Βικέντιος",,66
"Κύπρος",,35
"Γεωργία",,31
"Μολδαβία",,30
"Ολλανδία",,30
"Γερμανία",,24
"Κομόρες",,21
"Ρωσία",,19
"Λοιπά",,172
"",Σύνολο,2.004
